form	lemma	POS	morph
༄༅།		PUNCT
		
།		PUNCT
ནཻ་པ་	ནཻ་པ་	NON_WORD
ལ་	ལ་	ADP
འི་	གི་	PART
མཆོད་རྟེན་	མཆོད་རྟེན་	NOUN
རྣམ་	རྣམ་	NOUN
གསུམ་	གསུམ་	NUM
གྱི་	གི་	PART
གསོལ་འདེབས་	གསོལ་འདེབས་	NOUN
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
།		PUNCT
		
།		PUNCT
ཨེ་མ་ཧོ་	ཨེ་མ་ཧོ་	INTJ
།		PUNCT
		
དུས་གསུམ་	དུས་གསུམ་	OTHER
སངས་རྒྱས་	སངས་རྒྱས་	NOUN
རྣམས་	རྣམས་	DET
ཀྱི་	གི་	PART
བྱིན་	བྱིན་	VERB
གྱིས་	གིས་	PART
བརླབས་	བརླབས་	NO_POS
།		PUNCT
		
།		PUNCT
སྤྲུལ་པ་	སྤྲུལ་པ་	VERB
འི་	གི་	PART
རིང་བསྲེལ་	རིང་བསྲེལ་	NOUN
འཛད་པ་	འཛད་པ་	VERB
མེད་པ་	མེད་པ་	VERB
འི་	གི་	PART
གཏེར་	གཏེར་	NOUN
།		PUNCT
		
།		PUNCT
ཆོས་སྐུ་	ཆོས་སྐུ་	NOUN
འི་	གི་	PART
མཆོད་རྟེན་	མཆོད་རྟེན་	NOUN
འཕགས་པ་	འཕགས་པ་	VERB
ཤིང་ཀུན་	ཤིང་ཀུན་	NO_POS
ལ་	ལ་	PART
།		PUNCT
		
།		PUNCT
མི་	མི་	PART
ཕྱེད་	ཕྱེད་	NUM
གུས་པ་	གུས་པ་	VERB
ཆེན་པོ་	ཆེན་པོ་	ADJ
ས་	གིས་	PART
གསོལ་བ་	གསོལ་བ་	VERB
འདེབས་	འདེབས་	VERB
།		PUNCT
		
།		PUNCT
སངས་རྒྱས་	སངས་རྒྱས་	NOUN
འོད་སྲུང་	འོད་སྲུང་	PROPN
མཆོག་	མཆོག་	ADJ
གི་	གི་	PART
བྱིན་རླབས་	བྱིན་རླབས་	NOUN
ལ་	ལ་	ADP
ས་	གིས་	PART
།		PUNCT
		
།		PUNCT
མཁའ་འགྲོ་	མཁའ་འགྲོ་	NOUN
བདེ་མཆོག་	བདེ་མཆོག་	PROPN
སྲ་	སྲ་	NOUN
དང་	དང་	NO_POS
བཅས་པ་	བཅས་པ་	VERB
ཡི་	གིས་	PART
།		PUNCT
		
།		PUNCT
ལེགས་པ་	ལེགས་པ་	VERB
ར་	ལ་	PART
བཞེངས་པ་	བཞེངས་པ་	VERB
འི་	གི་	PART
མཆོད་སྡོང་	མཆོད་སྡོང་	NOUN
ཆེན་པོ་	ཆེན་པོ་	ADJ
ནི་	ནི་	NO_POS
།		PUNCT
		
།		PUNCT
འཕགས་པ་	འཕགས་པ་	VERB
བྱ་	བྱ་	VERB
རུང་	རུང་	SCONJ
ཁ་ཤོ་	ཁ་ཤོ་	NO_POS
ར་	ལ་	PART
ལ་	ལ་	PART
གསོལ་བ་	གསོལ་བ་	VERB
འདེབས་	འདེབས་	VERB
།		PUNCT
		
།		PUNCT
བྱང་ཆུབ་	བྱང་ཆུབ་	NOUN
སེམས་དཔའ་	སེམས་དཔའ་	NOUN
སྙིང་སྟོབས་	སྙིང་སྟོབས་	NOUN
ཆེན་པོ་	ཆེན་པོ་	ADJ
ཡི་	གིས་	PART
།		PUNCT
		
།		PUNCT
སྟག་མོ་	སྟག་མོ་	NOUN
ར་	ལ་	PART
སྦྱིན་པ་	སྦྱིན་པ་	VERB
འི་	གི་	PART
སྐུ་གདུང་	སྐུ་གདུང་	NOUN
ལྷག་མ་	ལྷག་མ་	NOUN
ལ་	ལ་	ADP
ས་	གིས་	PART
།		PUNCT
		
།		PUNCT
བསྐྲུན་པ་	བསྐྲུན་པ་	VERB
འི་	གི་	PART
བསོད་ནམས་	བསོད་ནམས་	NOUN
ཞིང་མཆོག་	ཞིང་མཆོག་	OTHER
མཆོད་རྟེན་	མཆོད་རྟེན་	NOUN
ལ་	ལ་	PART
།		PUNCT
		
།		PUNCT
དད་པ་	དད་པ་	VERB
ས་	གིས་	PART
ཕྱག་	ཕྱག་	NOUN
འཚལ་	འཚལ་	VERB
གུས་པ་	གུས་པ་	VERB
ས་	གིས་	PART
གསོལ་བ་	གསོལ་བ་	VERB
འདེབས་	འདེབས་	VERB
།		PUNCT
		
།		PUNCT
ལུས་	ལུས་	NOUN
དང་	དང་	NO_POS
ལོངས་སྤྱོད་	ལོངས་སྤྱོད་	NOUN
དུས་གསུམ་	དུས་གསུམ་	OTHER
དགེ་ཚོགས་	དགེ་ཚོགས་	NOUN
བཅའ་	བཅའ་	VERB
།		PUNCT
		
།		PUNCT
ཀུན་བཟང་	ཀུན་བཟང་	ADJ
མཆོད་པ་	མཆོད་པ་	VERB
འི་	གི་	PART
སྤྲིན་	སྤྲིན་	NOUN
དུ་	ལ་	PART
འབུལ་བ་	འབུལ་བ་	VERB
དང་	དང་	NO_POS
།		PUNCT
		
།		PUNCT
ཕྱག་	ཕྱག་	NOUN
འཚལ་	འཚལ་	VERB
སྡིག་	སྡིག་	NOUN
བཤགས་	བཤགས་	NO_POS
ཡི་	གི་	PART
རང་	རང་	PRON
ཆོ་	ཆོ་	NOUN
བསྐུལ་	བསྐུལ་	VERB
ཞིང་	ཅིང་	PART
།		PUNCT
		
།		PUNCT
བཞུགས་	བཞུགས་	VERB
གསོལ་	གསོལ་	VERB
དགེ་ཚོགས་	དགེ་ཚོགས་	NOUN
བྱང་ཆུབ་	བྱང་ཆུབ་	NOUN
ཆེན་པོ་	ཆེན་པོ་	ADJ
ར་	ལ་	PART
བསྔོ་	བསྔོ་	VERB
།		PUNCT
		
།		PUNCT
བདག་གཞན་	བདག་གཞན་	NOUN
སྐྱེ་	སྐྱེ་	NOUN
དང་	དང་	NO_POS
ཚེ་རབས་	ཚེ་རབས་	NOUN
ཐམས་ཅད་	ཐམས་ཅད་	DET
དུ་	ལ་	PART
།		PUNCT
		
།		PUNCT
མངོན་མཐོ་	མངོན་མཐོ་	NOUN
འི་	གི་	PART
རྟེན་	རྟེན་	NOUN
ཐོབ་	ཐོབ་	VERB
ངེས་འབྱུང་	ངེས་འབྱུང་	NOUN
ཚུལ་ཁྲིམས་	ཚུལ་ཁྲིམས་	NOUN
དང་	དང་	NO_POS
།		PUNCT
		
།		PUNCT
བྱམས་	བྱམས་	VERB
དང་	དང་	NO_POS
སྙིང་རྗེ་	སྙིང་རྗེ་	NOUN
བྱང་ཆུབ་	བྱང་ཆུབ་	NOUN
སེམས་	སེམས་	NOUN
མཆོག་	མཆོག་	ADJ
དང་	དང་	NO_POS
།		PUNCT
		
།		PUNCT
ཡང་དག་	ཡང་དག་	ADJ
ལྟ་བ་	ལྟ་བ་	VERB
རྒྱུད་	རྒྱུད་	NOUN
ལ་	ལ་	PART
སྐྱེ་བ་	སྐྱེ་བ་	VERB
ར་	ལ་	PART
ཤོག་	ཤོག་	VERB
		
།		PUNCT
སངས་རྒྱས་	སངས་རྒྱས་	NOUN
བསྟན་པ་	བསྟན་པ་	VERB
ད་	ད་	NOUN
ཞིང་	ཅིང་	PART
རྒྱས་པ་	རྒྱས་པ་	VERB
དང་	དང་	NO_POS
།		PUNCT
		
