form	lemma	POS	morph
༄༅། །		PUNCT
རྒྱལ་པོ་	རྒྱལ་པོ་	NOUN
འི་	གི་	PART
ཁབ་	ཁབ་	NOUN
ཀྱི་	གི་	PART
གནས་	གནས་	NOUN
།		PUNCT
བྱ་རྒོད་	བྱ་རྒོད་	NOUN
སྤུངས་	སྤུངས་	VERB
རི་	རི་	NOUN
ན་	ལ་	PART
ལེནྡྲ་		NON_WORD
སོགས་	སོགས་	DET
ལ་	ལ་	PART
བསྟོད་པ་	བསྟོད་པ་	VERB
རབ་དག་	རབ་དགའ་	PROPN
འི་	གི་	PART
དབྱངས་	དབྱངས་	NOUN
ཞེ་	ཅེས་	PART
བྱ་བ་	བྱ་བ་	VERB
།		PUNCT
མགོན་པོ་	མགོན་པོ་	NOUN
འཇམ་པ་	འཇམ་པ་	VERB
འི་	གི་	PART
དབྱངས་	དབྱངས་	NOUN
ལ་	ལ་	PART
ཕྱག་	ཕྱག་	NOUN
འཚལ་	འཚལ་	VERB
ལོ་	གོ་	PART
། །		PUNCT
གཉིས་	གཉིས་	NUM
སྣང་	སྣང་	VERB
སྒྲིབ་	སྒྲིབ་	NOUN
ཚོགས་	ཚོགས་	NOUN
མུན་པ་	མུན་པ་	NOUN
གཏན་	གཏན་	NOUN
ན་	ནས་	PART
བཅོམ་	བཅོམ་	VERB
། །		PUNCT
ཀུན་མཁྱེན་	ཀུན་མཁྱེན་	OTHER
ཡེ་ཤེས་	ཡེ་ཤེས་	NOUN
གསལ་བ་	གསལ་བ་	VERB
འི་	གི་	PART
འོད་པོ་ཆེ་	འོད་པོ་ཆེ་	NO_POS
། །		PUNCT
འཇིག་རྟེན་	འཇིག་རྟེན་	NOUN
གསུམ་	གསུམ་	NUM
ན་	ལ་	PART
གདུགས་	གདུགས་	NOUN
ཟླ་མེད་པ་	ཟླ་མེད་པ་	NO_POS
ཡི་	གི་	PART
"།
།"		PUNCT
ལྷ་	ལྷ་	NOUN
ར་	ལ་	PART
བཅའ་	བཅའ་	VERB
འགྲོ་བ་	འགྲོ་བ་	VERB
འི་	གི་	PART
བླ་མ་	བླ་མ་	NOUN
ལ་	ལ་	PART
ཕྱག་	ཕྱག་	NOUN
འཚལ་	འཚལ་	VERB
། །		PUNCT
བྱང་ཆུབ་	བྱང་ཆུབ་	NOUN
ཤིང་	ཅིང་	PART
དྲུང་	དྲུང་	NOUN
ག་ལ་	ག་ལ་	NO_POS
བ་	བ་	NOUN
གཤེགས་	གཤེགས་	VERB
ན་	ནས་	PART
། །		PUNCT
བདུད་	བདུད་	NOUN
བརྟུལ་	བརྟུལ་	NO_POS
མངོན་	མངོན་	VERB
འཚང་	འཚང་	VERB
རྒྱ་	རྒྱ་	NOUN
ཞིང་	ཅིང་	PART
ཆོས་འཁོར་	ཆོས་འཁོར་	NOUN
བསྐོར་	བསྐོར་	VERB
། །		PUNCT
འདུལ་བ་	འདུལ་བ་	VERB
རྣམ་	རྣམ་	NOUN
བཞི་	བཞི་	NUM
དཔག་མེད་	དཔག་མེད་	ADJ
རབ་	རབ་	ADV
བསྟན་	བསྟན་	VERB
ན་	ནས་	PART
"།
།"		PUNCT
རྩྭ་མཆོག་	རྩྭ་མཆོག་	NOUN
གྲོང་	གྲོང་	NOUN
དུ་	ལ་	PART
མྱ་ངན་	མྱ་ངན་	NOUN
འདའ་	འདའ་	VERB
ཕྱག་	ཕྱག་	NOUN
འཚལ་	འཚལ་	VERB
། །		PUNCT
མཛད་པ་	མཛད་པ་	VERB
བརྒྱ་	བརྒྱ་	NUM
ཕྲག་	ཕྲག་	NUM
དེ་ལས་	དེ་ལས་	NO_POS
ཁྱད་པར་	ཁྱད་པར་	NOUN
དུ་	ལ་	PART
། །		PUNCT
གཉིས་	གཉིས་	NUM
སྐྱེ་	སྐྱེ་	VERB
རྒོད་	རྒོད་	NOUN
དཀ་	དཀའ་	VERB
ར་	ལ་	PART
གྱེན་	གྱེན་	NOUN
རྒྱུག་	རྒྱུག་	VERB
སྤུངས་པ་	སྤུངས་པ་	VERB
ལྟ་	ལྟ་	NOUN
འི་	གི་	PART
། །		PUNCT
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
འི་	གི་	PART
རི་བོ་	རི་བོ་	NOUN
དབྱིབས་	དབྱིབས་	NOUN
ལེགས་	ལེགས་	VERB
ལྗོན་ཤིང་	ལྗོན་ཤིང་	NOUN
གི་	གི་	PART
།		PUNCT
འབྲས་བུ་	འབྲས་བུ་	NOUN
སྣ་ཚོགས་	སྣ་ཚོགས་	DET
སྤུད་པ་	སྤུད་པ་	VERB
ལ་	ལ་	PART
ཕྱག་	ཕྱག་	NOUN
འཚལ་	འཚལ་	VERB
། །		PUNCT
བཻཌཱུརྱ་		NON_WORD
ནི་	ནི་	NO_POS
དཀར་སེར་	དཀར་སེར་	NO_POS
སྔོ་	སྔོ་	VERB
དང་	དང་	NO_POS
ལྗང་	ལྗང་	NO_POS
། །		PUNCT
དུ་བ་	དུ་བ་	NOUN
ས་	གིས་	PART
སྤྲས་པ་	སྤྲས་པ་	VERB
འི་	གི་	PART
བྲག་རི་	བྲག་རི་	NOUN
མཐོང་བ་	མཐོང་བ་	VERB
ས་	གིས་	PART
དགའ་	དགའ་	VERB
། །		PUNCT
ཟླ་བ་	ཟླ་བ་	NOUN
ཆུ་ཤེལ་	ཆུ་ཤེལ་	OTHER
བཞུས་པ་	བཞུས་པ་	NO_POS
ས་	གིས་	PART
ཞལ་ཞལ་བྱས་	ཞལ་ཞལ་བྱས་	NO_POS
"།
།"		PUNCT
