form	lemma	POS	morph
༄༅། །		PUNCT
མཉན་ཡོད་	མཉན་ཡོད་	PROPN
གནས་	གནས་	NOUN
ལ་	ལ་	PART
བསྟོད་པ་	བསྟོད་པ་	VERB
རྒྱལ་བ་	རྒྱལ་བ་	NOUN
དགྱེས་	དགྱེས་	NO_POS
རོལ་	རོལ་	VERB
བཞུགས་	བཞུགས་	VERB
།		PUNCT
ཨོཾ་	ཨོཾ་	X
སྭསྟི་		NON_WORD
།		PUNCT
བཅོམ་ལྡན་	བཅོམ་ལྡན་	NOUN
ལྷ་	ལྷ་	NOUN
ཡི་	གི་	PART
ལྷ་	ལྷ་	NOUN
མཆོག་	མཆོག་	ADJ
ཤཱཀྱ་	ཤཱཀྱ་	PROPN
སེང་	སེང་	NOUN
། །		PUNCT
མི་	མི་	PART
ཡི་	གི་	PART
ཁྱུ་མཆོག་	ཁྱུ་མཆོག་	NOUN
འཇིག་རྟེན་	འཇིག་རྟེན་	NOUN
འདྲེན་པ་	འདྲེན་པ་	VERB
འི་	གི་	PART
གཙོ་	གཙོ་	NOUN
། །		PUNCT
སྐུ་གསུམ་	སྐུ་གསུམ་	OTHER
ཞིང་ཁམས་	ཞིང་ཁམས་	NOUN
ཀུན་	ཀུན་	DET
ཏུ་	ལ་	PART
ཁྱབ་པ་	ཁྱབ་པ་	VERB
ལ་	ལ་	ADP
ས་	གིས་	PART
"།
།"		PUNCT
ཚུ་རོལ་	ཚུ་རོལ་	NOUN
མཐོང་བ་	མཐོང་བ་	VERB
འི་	གི་	PART
གདུལ་བྱ་	གདུལ་བྱ་	NOUN
འདུལ་	འདུལ་	NO_POS
མཛད་	མཛད་	VERB
རྒྱལ་	རྒྱལ་	VERB
། །		PUNCT
མཛད་པ་	མཛད་པ་	VERB
འི་	གི་	PART
ཆོ་རོལ་	ཆོ་རོལ་	NO_POS
མིག་	མིག་	NOUN
འཛུམ་	འཛུམ་	NO_POS
ཡུན་	ཡུན་	NOUN
ལ་	ལ་	PART
ཡང་	ཀྱང་	PART
། །		PUNCT
བརྒྱ་	བརྒྱ་	NUM
ཕྲག་	ཕྲག་	NUM
མང་པོ་	མང་པོ་	ADJ
སྤྲོ་	སྤྲོ་	NO_POS
དང་	དང་	NO_POS
སྡུད་	སྡུད་	VERB
མཛད་པ་	མཛད་པ་	VERB
འི་	གི་	PART
། །		PUNCT
གནས་	གནས་	NOUN
ཀྱི་	གི་	PART
མཆོག་གྱུར་	མཆོག་གྱུར་	ADJ
མཉན་	མཉན་	VERB
དུ་ཡོད་པ་	དུ་ཡོད་པ་	NO_POS
ཞེ་	ཅེས་	PART
"།
།"		PUNCT
ཐུབ་དབང་	ཐུབ་དབང་	NOUN
དགྱེས་པ་	དགྱེས་པ་	VERB
འི་	གི་	PART
དགའ་ཚལ་	དགའ་ཚལ་	OTHER
ལ་	ལ་	PART
ཕྱག་	ཕྱག་	NOUN
འཚལ་	འཚལ་	VERB
། །		PUNCT
དགེ་འདུན་	དགེ་འདུན་	NOUN
འདུས་པ་	འདུས་པ་	VERB
ངུར་སྨྲིག་	ངུར་སྨྲིག་	NOUN
འོད་	འོད་	NOUN
ཀྱིས་	གིས་	PART
ནི་	ནི་	NO_POS
། །		PUNCT
མཁའ་	མཁའ་	NOUN
ལ་	ལ་	PART
རབ་	རབ་	ADV
འཁྱུད་	འཁྱུད་	NO_POS
མཚམས་སྤྲིན་	མཚམས་སྤྲིན་	OTHER
གསར་པ་	གསར་པ་	VERB
བཞིན་	བཞིན་	NOUN
། །		PUNCT
རྒྱལ་བྱེད་	རྒྱལ་བྱེད་	PROPN
ཚལ་	ཚལ་	NOUN
ཞེ་	ཅེས་	PART
གྲགས་པ་	གྲགས་པ་	VERB
འི་	གི་	PART
ལྗོངས་	ལྗོངས་	NOUN
ཆེན་པོ་	ཆེན་པོ་	ADJ
"།
།"		PUNCT
མགོན་མེད་	མགོན་མེད་	NOUN
ཟ་	ཟ་	NOUN
སྦྱིན་	སྦྱིན་	VERB
བསོད་ནམས་	བསོད་ནམས་	NOUN
མཐུ་	མཐུ་	NOUN
ས་	གིས་	PART
བསྐྲུན་པ་	བསྐྲུན་པ་	VERB
། །		PUNCT
ཆོ་	ཆོ་	NOUN
ཀྱི་	གི་	PART
ཀུན་དགའ་ར་བ་	ཀུན་དགའ་ར་བ་	NOUN
ཆེན་པོ་	ཆེན་པོ་	ADJ
ན་	ལ་	PART
། །		PUNCT
ཐུབ་དབང་	ཐུབ་དབང་	NOUN
གསེར་	གསེར་	NOUN
གྱི་	གི་	PART
ལྷུན་པོ་	ལྷུན་པོ་	OTHER
ལྟ་	ལྟ་	OTHER
བརྗིད་	བརྗིད་	NO_POS
དེ་	དེ་	DET
ས་	གིས་	PART
། །		PUNCT
ལྟ་བ་	ལྟ་བ་	VERB
ངན་པ་	ངན་པ་	VERB
འི་	གི་	PART
ཆང་	ཆང་	NOUN
གིས་	གིས་	PART
རབ་མྱོས་པ་	རབ་མྱོས་པ་	NO_POS
འི་	གི་	PART
"།
།"		PUNCT
དྲེགས་	དྲེགས་	NOUN
ལྡན་	ལྡན་	VERB
གླང་པོ་	གླང་པོ་	NOUN
སྡེ་	སྡེ་	NOUN
དྲུག་	དྲུག་	NUM
སྤྱི་གཙུག་	སྤྱི་གཙུག་	NOUN
ནི་	ནི་	NO_POS
། །		PUNCT
རབ་ཏུ་	རབ་ཏུ་	NO_POS
འགེམ་པ་	འགེམ་པ་	NO_POS
འི་	གི་	PART
ཆོ་འཕྲུལ་	ཆོ་འཕྲུལ་	NOUN
ཆེ་	ཆེ་	VERB
བསྟན་པ་	བསྟན་པ་	VERB
ས་	གིས་	PART
"།
།"		PUNCT
དུད་	དུད་	NO_POS
མོ་	མོ་	PRON
འི་	གི་	PART
སྒྲ་	སྒྲ་	NOUN
ཡི་	གིས་	PART
ས་སྟེང་	ས་སྟེང་	NOUN
ཁྱབ་	ཁྱབ་	VERB
དང་	དང་	NO_POS
བཅའ་	བཅའ་	VERB
། །		PUNCT
བདུད་	བདུད་	NOUN
ཀྱི་	གི་	PART
སྡེ་	སྡེ་	NOUN
རྣམས་	རྣམས་	DET
ཐམས་ཅད་	ཐམས་ཅད་	DET
སྤ་བཀོང་	སྤ་བཀོང་	NO_POS
ཞིང་	ཅིང་	PART
། །		PUNCT
ཡང་དག་	ཡང་དག་	ADJ
ཆོ་	ཆོ་	NOUN
ཀྱི་	གི་	PART
རྒྱལ་རྔ་	རྒྱལ་རྔ་	OTHER
ལན་	ལན་	NOUN
བརྒྱ་	བརྒྱ་	NUM
ར་	ལ་	PART
བརྡུང་	བརྡུང་	NO_POS
"།
།"		PUNCT
དེ་	སྟེ་	PART
འདྲ་	འདྲ་	VERB
འི་	གི་	PART
ཆོ་འཕྲུལ་	ཆོ་འཕྲུལ་	NOUN
ཆེན་པོ་	ཆེན་པོ་	ADJ
མངོན་སུམ་	མངོན་སུམ་	NOUN
དུ་	ལ་	PART
། །		PUNCT
ལྷ་	ལྷ་	NOUN
མི་	མི་	PART
སྐྱེ་བོ་	སྐྱེ་བོ་	NOUN
ཀུན་	ཀུན་	DET
གྱི་	གི་	PART
མིག་	མིག་	NOUN
དང་	དང་	NO_POS
ནི་	ནི་	NO_POS
། །		PUNCT
སྙིང་	སྙིང་	NOUN
ལ་	ལ་	PART
སིམ་པ་	སིམ་པ་	VERB
འི་	གི་	PART
བདུད་རྩི་	བདུད་རྩི་	NOUN
ར་	ལ་	PART
སྦྱིན་པ་	སྦྱིན་པ་	VERB
ཡི་	གི་	PART
"།
།"		PUNCT
ངོ་མཚར་	ངོ་མཚར་	ADJ
རྣམ་ཐར་	རྣམ་ཐར་	NOUN
དུས་	དུས་	NOUN
ཀྱི་	གི་	PART
མཐ་	མཐའ་	NOUN
ར་	ལ་	PART
ཡང་	ཀྱང་	PART
གླེང་	གླེང་	NO_POS
། །		PUNCT
གཞན་	གཞན་	DET
ལ་	ལ་	ADP
ས་	གིས་	PART
ཁྱད་འཕགས་	ཁྱད་འཕགས་	OTHER
ཤ་	ཤ་	NOUN
རཱ་	རཱ་	NO_POS
བསྟི་	བསྟི་	NO_POS
རུ་	ལ་	PART
། །		PUNCT
